,詞頻
薑泥,26
蝦米,26
高湯,26
白煮蛋,26
乳酪絲,26
檸檬皮,26
月桂葉,26
去骨雞腿肉,26
木耳,25
葡萄柚,25
七味粉,25
酸豆,25
葡萄,25
冰塊,25
花枝,24
馬卡龍用杏仁粉,24
去骨雞腿排,24
鮪魚,24
日式美乃滋,24
無糖豆漿,24
豬肉片,24
粗粒黑胡椒,23
雞粉,23
雞腿肉,23
水果醋,23
龍蝦沙拉,23
奇亞籽,23
孜然粉,23
希臘優格,23
和風沙拉醬,23
桂冠芙蓉豆腐,23
蔥段,23
黑糖,23
結球萵苣,23
土司,23
白蘿蔔,23
和風醬,23
芭樂,22
匈牙利紅甜椒粉,22
乾香菇,22
菠菜,22
新鮮檸檬汁,22
鯛魚片,22
紫高麗菜,22
杏仁片,22
義式香料,22
蝦,21
花生粉,21
冷水,21
雞肉,21
蒜片,21
泡菜,20
玉米粉,20
赤藻糖,20
白米,20
鹽和黑胡椒,20
絞肉,20
雪白菇,20
地瓜粉,20
腰果,20
植物油,20
雞里肌肉,20
椰子鮮奶油,20
冬粉,20
芝麻油,20
花生,19
薑黃粉,19
椰糖,19
紅黃甜椒,19
動物性鮮奶油,19
巴西里,19
蔓越莓乾,19
草蝦,19
燕麥片,19
火龍果,18
雞胸,18
小黃瓜絲,18
蔥末,18
全麥麵粉,18
通心粉,18
小磨坊蒜風味油,18
蒜粉,18
蛋黃醬,18
蟹肉棒,18
鮮味炒手,18
黑胡椒粗粒,18
山藥,17
海苔,17
枸杞,17
雞里肌,17
粗黑胡椒粒,17
青木瓜,17
黃金奇異果,17
肉鬆,17
紅黃椒,17
凱薩沙拉醬,17
胡椒粒,16
大陸妹,16
法式芥末醬,16
水梨,16
低脂牛奶,16
蔓越莓,16
筊白筍,16
帕瑪森起司,16
綠櫛瓜,16
薑絲,16
蛤蜊,16
柚子,16
豆漿,15
羽衣甘藍,15
粗黑胡椒粉,15
聖女番茄,15
大番茄,15
蒜瓣,15
甜菜根,15
牛蒡,15
蔬菜,15
日式醬油,15
酵母粉,15
蓮霧,15
青花椰菜,15
八角,15
干貝,15
西芹,15
米醋,15
特級初榨橄欖油,14
蒟蒻麵,14
冷壓橄欖油,14
泰式甜辣醬,14
紫色高麗菜,14
義大利綜合香料,14
酵母,14
牛肉,14
薄荷,14
奶粉,14
芝麻菜,14
洋蔥丁,14
煙燻鮭魚,14
香菜末,14
豆芽菜,14
美白菇,14
皮蛋,14
黑椒粉,14
黃櫛瓜,14
巴西里葉,14
油醋醬,14
酸黃瓜,14
綠花椰,13
溫水,13
小蘋果,13
豬油,13
柳丁,13
清水,13
味增,13
海苔片,13
熱狗,13
蘿蔓心,13
帕馬森起司,13
西生菜,13
羅美生菜,13
麵包丁,13
鯛魚,13
糖粉,13
糙米,13
鮮香菇,13
味琳,13
栗子南瓜,13
生酮醬油,13
櫻桃蘿蔔,13
果醋,13
聖女小番茄,13
柚肉和風醬,13
義式綜合香料,13
鹽、黑胡椒,13
抹茶粉,13
脫脂清雞湯,13
雞高湯,13
鹽麴,12
小黃瓜丁,12
小蘇打粉,12
吉利丁片,12
中型馬鈴薯,12
德式香腸,12
諾鈣C發泡錠,12
第戎芥末醬,12
巴西利,12
香菜葉,12
辣油,12
洋蔥切絲,12
柳橙汁,12
龍鬚菜,12
巴薩米可醋,12
紅藜麥,12
紅酒,12
羅勒,12
特級橄欖油,12
柴魚,12
蓮藕,12
球芽甘藍,12
苦瓜,12
雞腿排,12
蒟蒻,12
大蒜末,12
大蒜切碎,12
洋蔥,12
辣椒末,12
黑醋,11
冰糖,11
白糖,11
樹薯粉,11
秀珍菇,11
大黃瓜,11
烘焙用杏仁粉,11
麵包,11
和風柚子醬,11
南瓜泥,11
冰水,11
愛文芒果,11
鮪魚罐,11
老薑,11
米,11
果乾,11
低脂沙拉醬,11
日式美奶滋,11
起士粉,11
節瓜,11
綠蘆筍,11
洋蔥碎,11
韭菜,11
柴魚醬油,11
千島沙拉醬,11
青江菜,11
白芝麻粉,11
辣椒醬,11
紅蘿蔔丁,11
速發酵母,11
海帶芽,11
義大利香料粉,11
蛤蠣,11
芫荽,11
蜂蜜芥末醬,11
雞柳,10
酸奶油,10
帕馬森起司粉,10
莫札瑞拉起司,10
味淋,10
甜橙,10
竹筍,10
玉米粒罐頭,10
淡醬油,10
水煮鮪魚,10
小卷,10
現磨黑胡椒,10
豌豆嬰,10
水餃皮,10
桂冠千島沙拉,10
蒔蘿,10
哈密瓜,10
和風醬油,10
豬里肌,10
熟白芝麻,10
Cream cheese,10
黃檸檬,10
甜豆,10
法國麵包,10
好市多冷凍蔬菜,10
海苔粉,10
芥末,10
香蒜粉,10
大白菜,10
乳清蛋白,10
洋蔥泥,10
檸檬皮屑,10
香鬆,10
螺旋麵,10
葡萄籽油,10
調味料,10
青豆,10
小豆苗,10
義大利香醋,10
羅蔓生菜,10
牛油果,10
白菜,10
鹽、胡椒,10
原味無糖優格,10
綠色奇異果,10
粉絲,10
低鈉豉油,10
代糖,10
乾辣椒,9
蘿美,9
過貓,9
糙米飯,9
火腿丁,9
萊姆,9
蒜蓉,9
紫洋蔥切絲,9
蘿美心,9
蒜碎,9
雞蛋豆腐,9
去骨雞腿,9
有鹽奶油,9
豆苗,9
里肌肉,9
石榴,9
乳清蛋白粉,9
全蛋液,9
胡蘿蔔絲,9
毛豆仁,9
初榨冷壓橄欖油,9
九層塔葉,9
鯷魚,9
凱撒醬,9
檸檬汁或白醋,9
絲瓜,9
洋香菜葉,9
菇類,9
帶皮杏仁粉,9
昆布醬油,9
辣椒粉（可省略）,9
魚卵,9
飲料,9
起士,9
雞腿,9
芋頭,9
白芝麻粒,9
油豆腐,9
牛排,9
罐頭鮪魚,9
青醬,9
雞柳條,9
櫻桃蕃茄,9
新鮮香菇,9
生菜沙拉,9
好市多鮪魚罐頭,9
食材︰香菜,9
初搾橄欖油,9
南瓜子,9
紫色洋蔥,8
蛋液,8
黃原膠,8
沙拉菜,8
紅藜,8
小洋蔥,8
大蒜粉,8
雞湯塊,8
橘子,8
牛油,8
鮭魚肚,8
蟹肉,8
紅棗,8
帕瑪森起司粉,8
蘋果丁,8
泰式甜雞醬,8
花生米,8
凱撒沙拉醬,8
楓糖漿,8
粗黑胡椒,8
菊苣,8
清酒,8
火鍋豬肉片,8
烘焙杏仁粉,8
橄欖,8
椰子醬,8
豌豆苗,8
西班牙紅椒粉,8
杏仁奶,8
無酒精有機香草精,8
可可膏,8
葵花油,8
千張,8
白吐司,8
中卷,8
牛肉片,8
乳酪,8
五花肉,8
黃金亞麻子粉,8
豬肉,8
小黃瓜片,8
無糖花生醬,8
椰漿,8
小白菜,8
青芒果,8
青檸汁,8
蜜糖,8
白開水,8
蒟蒻米,8
鷹嘴豆,8
日式和風醬,8
燻鮭魚,8
鷹牌煉奶,8
醬汁︰糖,8
醬汁︰醬油,8
綜合沙拉葉,8
印度咖哩粉,8
紅糖,8
無糖醬油,8
素蠔油,8
洋蔥粉,8
雞絞肉,8
辣豆瓣醬,8
水蜜桃,8
原味沙拉醬,8
香吉士,8
明太子,8
豆瓣醬,8
萊姆汁,8
地瓜葉,8
黑芝麻粉,8
起士片,8
薏仁,8
咖哩塊,8
黃豆芽,7
黑胡椒鹽,7
芫茜,7
油漬鯷魚,7
紅捲生菜,7
岩鹽,7
德國香腸,7
黑楜椒,7
鰹魚醬油,7
飲用水,7
小玉米,7
楓糖,7
米粉,7
百香果醬,7
蘑菇切片,7
粟米,7
低脂起司片,7
千島醬,7
沙拉葉,7
三色豆,7
【調味料】鹽,7
胡椒鹽,7
馬鈴薯 ,7
豆薯,7
小黃瓜,7
草蝦仁,7
全麥吐司,7
磨菇,7
柚肉果醋,7
生薑,7
研磨黑胡椒,7
豆渣,7
巴沙米可醋,7
櫻花蝦,7
聖女蕃茄,7
黑木耳QQ圓(起司),7
豬里肌肉,7
香茅,7
嫩薑,7
紹興酒,7
醬汁︰水,7
波菜,7
煉乳,7
茭白筍,7
荳蔻粉,7
蘋果泥,7
麵線,7
減鹽豉油,7
二砂糖,7
紫甘藍,7
優酪乳,7
金桔,7
果糖,7
綠捲鬚,7
黃豆,7
杏仁角,7
鮮蝦仁,7
鹹蛋,7
食鹽,7
無糖蘋果醋,7
雞湯,7
小磨坊鮮磨黑胡椒,7
明蝦,7
洋車前子穀粉,7
吉利丁粉,7
椰子麵粉,7
蝴蝶麵,7
肉桂,7
綜合香料,7
黑巧克力,7
熱開水,7
梅子醋,7
各式蔬菜,7
壽司醋,7
鰹魚粉,7
海苔絲,7
青蘋果,7
西瓜,7
柴魚粉,7
鮭魚排,7
黑木耳QQ圓,7
苦茶油,7
芥末子醬,7
低脂鮮奶,6
水煮雞蛋,6
酸黃瓜醬,6
椰子絲,6
柳松菇,6
大辣椒,6
嫩薑絲,6
蒜苗,6
吻仔魚,6
紅彩椒,6
永新日式沙拉醬,6
滾水,6
蔥白,6
紫蘇葉,6
海帶,6
麥片,6
牛絞肉,6
大燕麥片,6
柚子醬,6
香菜梗,6
小番茄切片,6
油蔥酥,6
煉奶,6
柚子醋,6
甜玉米,6
酸奶,6
醬汁︰白醋,6
水菜,6
動物鮮奶油,6
生米,6
娃娃菜,6
材料,6
全脂鮮奶,6
洋芋,6
南瓜籽,6
蟹味棒,6
凱薩醬,6
蒟蒻絲,6
牙籤,6
日式胡麻醬,6
二砂,6
各式水果,6
沙茶醬,6
雞胸絞肉,6
融化無鹽奶油,6
帕瑪森起士粉,6
荷蘭芹,6
豬里肌肉片,6
吐司麵包,6
白洋蔥,6
朝天椒,6
昆布,6
黑木耳QQ圓(抹茶),6
調味料︰鹽,6
馬鈴薯(小顆),6
白藜麥,6
甜菊糖,6
長豆,6
鹹蛋黃,6
香草,6
玄米油,6
豆腐乳,6
草菇,6
小馬鈴薯,6
洋香菜,6
地瓜泥,6
厚片吐司,6
荷蘭豆,6
藍莓果醬,6
脫脂奶,6
奶油起司,6
韓式辣椒醬,6
豆皮,6
小蘇打,6
千島沙拉,6
木瓜,6
杏仁,6
鳳梨片,6
小南瓜,6
梅花豬肉片,6
小茴香籽,6
通心麵,6
富士蘋果,6
高蛋白粉,6
OmniPork新餐肉,6
現磨胡椒,6
新鮮迷迭香,6
巴薩米克酒醋,6
青瓜,6
生菜葉,6
水煮雞胸肉,6
黑木耳QQ圓(鮮奶),6
櫻桃,6
五花肉片,6
自製美乃滋,5
豆芽,5
黑胡椒、鹽,5
草飼養無鹽奶油,5
西蘭花,5
蔥絲,5
蘿蔓萵苣,5
胡麻油,5
紅石榴,5
茴香粉,5
福樂自然零無加糖優酪,5
牛小排,5
青蔥花,5
香料,5
白木耳,5
小黃瓜切丁,5
小番茄對切,5
蒜/蒜末,5
老麵,5
紅、黃椒,5
新鮮薄荷葉,5
馬鈴薯丁,5
優格醬,5
新鮮無花果,5
花椰菜米,5
芥末籽,5
車厘茄,5
青蔥末,5
有機小黃瓜,5
番茄丁,5
鹽、胡椒粉,5
甜菊粉,5
義式香料粉,5
蜂蜜芥末沙拉醬,5
白芝麻醬,5
馬茲摩拉乳酪絲,5
蒜壓泥,5
熟腰果,5
鹽、黑胡椒,5
全脂牛奶,5
檸檬汁或醋,5
素火腿,5
丁香,5
紅蕃茄,5
花椒粉,5
金菇,5
泰式酸辣醬,5
橄欖油,5
蘇打粉,5
法式芥末籽醬,5
黑木耳QQ圓(起司口味),5
雞肉絲,5
紅蘿蔔 ,5
山葵醬,5
柿子,5
綠豆芽,5
千張豆皮,5
烹大師,5
碎堅果,5
紫蘇,5
紫蘇梅汁,5
鹽及胡椒,5
美極鮮味露,5
花椰菜 ,5
棗子,5
雞蛋 ,5
芝麻粉,5
牛腱肉,5
芝麻沙拉醬,5
鰹魚露,5
肉絲,5
豬五花,5
黑木耳健康凍,5
泰式魚露,5
泰式辣椒醬,5
豆乾,5
軟絲,5
貝殼麵,5
蔬菜油,5
熟紅藜,5
黃檸檬汁,5
芙蓉豆腐,5
芽菜,5
桂冠原味沙拉,5
黑胡椒粉（粗）,5
花椰米,5
蒜仁,5
辣椒片,5
玉米筍,5
Whipping cream,5
玉米脆片,5
三色藜麥,5
鹽和胡椒,5
可爾必思乳酸菌發酵乳,5
甜玉米粒,5
青辣椒,5
小磨坊玫瑰鹽,5
無味精雞湯,5
茴香,5
雞絲,5
生干貝,5
火鍋肉片,5
茂谷柑,5
洋車前子細粉,5
乾燥海帶芽,5
冰開水,5
紫生菜,5
常溫雞蛋,5
菲達起司,5
好菇道,5
鳳梨罐頭,5
無糖原味優格,5
馬茲瑞拉起司,5
鬆餅粉,5
覆盆子,5
焗烤起司絲,5
鮭魚（尾段）,5
檸檬片,5
香腸,5
馬士卡邦起司,5
亞麻仁油,5
白土司,5
馬鈴薯泥,5
葡萄醋,5
綜合生菜葉,5
藜麥糙米飯,5
雞蛋,5
醬汁︰麻油,5
鴨胸,5
舞菇,5
無添加醬油,5
玉米罐,5
魷魚,5
味林,5
豌豆,5
鹽,5
酒醋,5
紅番茄,5
蒜頭粉,5
無鹽綜合堅果,4
北非小米,4
番茄糊,4
烘培用杏仁粉,4
融化奶油,4
乳酪抹醬,4
罐頭玉米粒,4
洋蔥(切碎),4
西洋芹菜,4
起司條,4
太白粉/蓮藕粉,4
馬玲薯,4
自製希臘優格,4
梅林醬油,4
MCT油,4
堅果類,4
薄荷葉末,4
黃金亞麻籽粉,4
雞胸肉絲,4
冷壓芝麻油,4
檸檬葉,4
鹽胡椒,4
綠色花椰菜,4
優格沙拉醬,4
排骨,4
雞翅,4
義大利黑醋,4
火鍋牛肉片,4
椰奶粉或奶粉,4
玉米片,4
素魚翅,4
鹽與胡椒,4
水蓮,4
新鮮羅勒,4
鯷魚醬,4
馬卡龍杏仁粉,4
低脂牛絞肉,4
生香菇,4
熟雞胸 (約120g),4
蘿勒,4
日式和風沙拉醬,4
韓式辣醬,4
烤肉醬,4
粗鹽,4
濃縮咖啡,4
桂冠Light沙拉,4
＜調味料＞,4
蘿勒葉,4
西班牙煙燻紅椒粉,4
匈牙利辣椒粉,4
小磨坊香蒜黑胡椒,4
北非煙燻粉,4
巴西利切碎,4
低粉,4
梅醋,4
肉片,4
栗南瓜,4
蘿曼生菜,4
蒜粒,4
乾海帶芽,4
香菇素蠔油,4
蒜頭末,4
鹽巴,4
韓式泡菜,4
青菜,4
巴西利碎,4
鯖魚,4
小磨坊萬用胡椒鹽,4
養樂多,4
牛肋條,4
鼠尾草,4
茼蒿,4
花椒粒,4
義大利香芹,4
無糖杏仁奶,4
小辣椒,4
豉油,4
黃色甜椒,4
白精靈菇,4
飯,4
鱸魚排,4
榛果,4
小茴香粉,4
老抽,4
皇帝豆,4
黑白芝麻,4
豆乾,4
黑麻油,4
海鮮,4
Mozzarella起司,4
高纖蔬果雞高湯,4
小麥蛋白粉,4
桔香醬油,4
綜合沙拉,4
醬汁,4
冬瓜,4
火鍋料,4
松阪豬肉片,4
小松菜,4
筍子,4
永新日式美乃滋,4
紅、黃彩椒,4
辣椒絲,4
牛番茄切丁,4
鹽、糖,4
蛋 ,4
日式芝麻醬,4
白味噌,4
花椒,4
碎洋蔥,4
脫脂牛奶,4
吐司丁,4
克里特島特級初榨橄欖油,4
水煮鮪魚罐,4
第戎芥末,4
熟黑芝麻,4
柚子肉,4
芡汁,4
桂冠原味沙拉醬,4
黑胡椒粒/蒜粉,4
沙律醬,4
小黃瓜切絲,4
莎莎醬,4
迪戎芥末醬,4
羅曼生菜,4
各式生菜,4
鮭魚片,4
紅甜椒切絲,4
椰棗,4
食材︰雞胸肉,4
蓮藕粉,4
瘦肉,4
細白糖,4
壽喜燒醬,4
蜜棗,4
冷凍蔬菜,4
黃砂糖,4
大蒜泥,4
蔓越莓果乾,4
貝比生菜,4
黃彩椒,4
和風洋蔥醬,4
葡萄柚汁,4
豬頸肉,4
土雞蛋,4
佳輝黑胡椒粗粒,4
科克蘭鮪魚罐頭,4
鮭魚卵,4
研磨黑胡椒粒,4
空心菜,4
小番茄(對切),4
乾燥洋香菜葉,4
味島香鬆,4
鹹鴨蛋,4
綠捲生菜,4
花生碎,4
無調味堅果,4
黃秋葵,4
減鹽生抽,4
調味料︰桂冠沙拉醬,4
白花椰,4
洋蔥(切丁),4
大蝦,4
碗豆苗,4
松露醬,4
小黃瓜 ,4
美乃茲,4
日本山藥,4
蒜蓉辣椒醬,4
西蘭花,4
細蘆筍,4
醃料,4
米飯,4
清雞湯,4
蔥綠,4
得意的一天橄欖油,4
檸檬汁,4
蘭姆酒,4
聖女小蕃茄,4
青檸檬,4
紅蔥酥,4
白醋或檸檬汁,4
蛋餅皮,4
日式沙拉醬,4
粟粉,4
紅辣椒末,4
綠橄欖,4
小黃瓜，切薄片,4
全麥土司,4
高麗菜葉,4
玻璃罐,4
羅曼葉,4
蔓越梅乾,4
煙燻鮭魚片,4
青蒜,4
紅蘿蔔片,4
袖珍菇,4
椰奶(料理用),4
小型馬鈴薯,4
冷凍毛豆仁,4
熟花生,4
去骨雞胸肉,4
梅林辣醬油,4
小茴香,4
越南米紙,4
香草莢,4
韓式辣椒粉,4
萵苣葉,4
菜豆,4
壽司紫菜,4
馬鈴薯(中型),4
胡桃,4
洋蔥切丁,4
蒜頭碎,4
大蕃茄,4
萵苣生菜,4
巧克力米,4
泰山冷壓有機橄欖油,4
熟鷹嘴豆,4
蒸熟南瓜,4
伍斯特醬,4
義美馬芬堡,4
酪梨切丁,4
鷹牌煉乳,4
小米,4
紅蘿蔔切絲,4
奶油萵苣,4
綜合胡椒粒,3
蕎麥麵,3
中型紅蘿蔔,3
梅花肉,3
南瓜(小),3
肉豆蔻,3
扁豆,3
台灣紅藜,3
綠芥末,3
燻雞肉,3
新鮮巴西里,3
熟毛豆,3
小磨坊粗粒黑胡椒,3
亞麻籽油,3
芥茉籽醬,3
芝麻粒,3
白芝麻油,3
杏仁果,3
市售龍蝦沙拉,3
九陽豆漿機,3
飲氧品,3
橙汁,3
新鮮檸檬,3
紅蘿蔔末,3
薑黃,3
Mozzarella,3
栗子,3
柴魚高湯包,3
辣椒丁,3
奧勒岡葉,3
原味沙拉,3
夏威夷豆,3
紫蘇梅,3
小章魚,3
溫熱水,3
黃原膠粉,3
芋絲,3
生粉,3
法式芥末,3
巧克力,3
咖啡粉,3
馬鈴薯(小),3
無花果乾,3
野米,3
熟花生米,3
啤酒,3
紅蔥頭末,3
黃豆粉,3
熟蛋黃,3
糯米醋,3
起司丁,3
白葡萄酒,3
美式沙拉醬,3
草莓果醬,3
白芝麻(炒過),3
燒海苔,3
黃椒絲,3
小干貝,3
椰絲,3
貝殼義大利麵,3
沙拉筍,3
各式鮮蔬,3
沙拉醬汁︰鹽,3
紫蘇梅醬,3
五穀飯,3
無糖黑可可粉,3
鹽salt,3
番薯,3
新鮮生菜,3
龍蝦舞沙拉,3
檸檬皮絲,3
無籽葡萄,3
野菇,3
龍蝦肉,3
紫高麗菜絲,3
蘆筍切段,3
食材︰蘋果,3
菇菇,3
永新烘焙沙拉醬,3
茶籽堂冷壓鮮萃苦茶油,3
陳年紅酒醋,3
食材︰小黃瓜,3
喜歡的調味料,3
烏龍麵,3
烘焙紙,3
蒸雞醃料︰米酒,3
蘋果切丁,3
蒸雞醃料︰蔥,3
椒鹽粉,3
牛頭牌厲害電鍋TC18/十人份,3
蒸雞醃料︰薑,3
冷凍三色蔬菜,3
椰子鮮奶油（或鮮奶油）,3
新鮮巴西利,3
餛飩皮,3
熱狗麵包,3
旗魚,3
章魚,3
香蕉泥,3
青蔥,3
檸檬擠汁,3
帶殼綠竹筍,3
肉荳蔻粉,3
青花椰苗,3
頂級初榨橄欖油,3
無骨牛小排,3
熟雞胸肉,3
博客培根,3
【調味料】糖,3
芝士,3
梅子粉,3
【調味料】白醋,3
小顆馬鈴薯,3
甘筍,3
有機橄欖油,3
黃甜椒切絲,3
巴薩米醋,3
檸檬原汁,3
椰奶（或全脂牛奶）,3
黑巧克力磚,3
香料鹽,3
柚子醬油,3
蟹柳,3
紫高麗菜苗,3
三色蔬菜,3
小磨坊蔥風味油,3
有機冷壓初榨橄欖油,3
桂冠沙拉Light,3
黑胡椒研磨顆粒,3
椰子油（固體）,3
甜桃,3
香醋,3
瑞可達起司,3
生火腿,3
白刺蝦,3
沙拉醬汁︰蜂蜜,3
油漬鮪魚罐頭,3
食材︰文旦果粒,3
紅蘿蔔(小),3
新鮮藍莓,3
博客火腿,3
哇沙米,3
綠咖哩粉,3
有機蛋,3
飛馬牌西西里蒜味香草鹽,3
海底雞,3
味精,3
法式芥茉,3
黑豆,3
醃漬鯷魚,3
洽發高粉,3
葡萄酒醋,3
手指餅乾,3
紫薯,3
蒜米,3
蜂蜜芥茉醬,3
乾酵母粉,3
小黃瓜(切薄片),3
帶粒芥末醬,3
高蛋白鬆餅粉,3
去皮南瓜,3
檸檬風味橄欖油,3
春捲皮,3
熟蝦,3
泡菜汁,3
納豆,3
綠蔥,3
香蒜粒,3
鵪鶉蛋,3
紅、黃甜椒,3
優質蛋白粉,3
白蘆筍,3
小紅蘿蔔,3
貳砂糖,3
泰式酸甜醬,3
和風芝麻沙拉醬,3
速發酵母粉,3
烏魚子,3
Couscous,3
香瓜,3
日式燒肉醬,3
帕馬森起司絲,3
新鮮番茄,3
新鮮羅勒葉,3
藍紋乳酪,3
自製優格,3
廣達香塔塔醬,3
溫開水,3
Tabasco,3
蒜頭(切末),3
紅黃彩椒,3
芥末子,3
巴西里碎,3
芝司樂起司,3
牛番茄切片,3
梅粉,3
蕃茄糊,3
南瓜丁,3
罐裝玉米粒,3
大蒜碎,3
蔥,3
越南春捲皮,3
紅蘿菠,3
七味唐辛子,3
油醋,3
豬肉排,3
鹽巴,3
鹹蛋白,3
紅蘿蔔切塊,3
厚片土司,3
豬肉絲,3
黑美人菇,3
山茼蒿,3
原蔗糖,3
蒜味粉,3
奶油生菜,3
巧克力乳清蛋白,3
蔬菜高湯,3
黑胡椒.鹽,3
筆管麵,3
起司切丁,3
S&B 山葵膏,3
S&B 柚子青辣椒醬,3
鮮  蝦,3
檸檬橄欖油,3
喜歡的生菜,3
三層肉,3
雙色起司,3
低卡珍珠米( 蒟蒻米),3
杏包菇,3
蟹棒,3
香菇切片,3
豬五花肉片,3
沙拉油或橄欖油,3
UP低溫嫩雞包（灰玫瑰鹽）,3
寵鮮包 好給力口味,3
黑楜椒粒,3
蝦卵,3
魚餃,3
好的油,3
醃製雞胸肉,3
低脂起司,3
紐約克牛排,3
葵花籽,3
甜椒粉,3
粗粒胡椒,3
奧勒岡,3
凍豆腐（雅芳）,3
番茄片,3
綜合蔬菜,3
中型蘋果,3
巴薩米克黑醋,3
核桃碎,3
去殼蝦子,3
馬芬堡,3
熟雞胸(約120g),3
蔥抓餅,3
無調味綜合堅果,3
熟綠竹筍,3
鳳梨丁,3
礦泉水,3
蘋果(小),3
松阪豬,3
洋蔥(小),3
辣椒油,3
蘿美葉,3
洋蔥，切丁,3
黃瓜絲,3
成熟酪梨,3
紅肉火龍果,3
二號砂糖（紅砂糖）,3
鹽昆布,3
櫻桃番茄,3
水煮蛋切丁,3
五穀米,3
澎湖野生大明蝦,3
荔枝,3
蛋白粉,3
綜合生菜沙拉,3
醃橄欖,3
橘子汁,3
蛋沙拉,3
義大利香芹碎,3
甜菊粉(可省略),3
小黃瓜切片,3
酪梨 ,3
vitafiber,3
蕃茄丁,3
水果醋或白醋,3
螺旋義大利麵,3
研磨黑胡椒粉,3
蜜柑,3
碗豆芽,3
巴西利末,3
水─調諾鈣C發泡錠用,3
淬釀醬油露干貝風味,3
去皮醃製雞胸肉,3
芒  果,3
乾酪,3
莫扎瑞拉起司,3
冷凍帶尾蝦仁,3
溏心蛋,3
紅葡萄籽醋,3
碎花生,3
芥蘭菜,3
新鮮芒果,3
龜甲萬料亭和露,3
黃芥茉,3
馬鈴薯（中型）,3
寒天粉,3
油漬番茄,3
白色花椰菜,3
文旦,3
